**TOP 10 THREAT URL BLOCKED (PALOALTO)**
**Report Generated at: 2025-04-23 09:54:03**
**Generated By : superadmin@erasmith.com**

Event Id,Requesturl,Device Host Name,Account Name,Ip Address,Creation Time,Week
4b01b37f-36d5-4186-9cee-6301e469fa3c,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,216.218.206.73,2025-03-31 07:19:44,Week2(2025-03-31 to 2025-04-06)
d5d5c055-72e6-40b1-9fd9-045d428d8c03,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,64.62.197.236,2025-03-31 14:11:31,Week2(2025-03-31 to 2025-04-06)
b91459f5-0057-4f0c-8cfc-b3360a2eb8bc,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,64.62.156.136,2025-03-31 14:25:56,Week2(2025-03-31 to 2025-04-06)
179a7d30-92ed-414f-93f5-507ae540e727,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,64.62.197.27,2025-03-31 14:26:01,Week2(2025-03-31 to 2025-04-06)
0357aa22-e2ee-42cc-bba0-9bd74a374ff5,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,64.62.156.209,2025-03-31 15:45:22,Week2(2025-03-31 to 2025-04-06)
04582884-b7d8-4537-aad1-7bcb4421c5d6,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,64.62.156.75,2025-03-31 16:16:12,Week2(2025-03-31 to 2025-04-06)
141529fd-f7f0-4407-9c4d-3b014f7300a5,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,184.105.247.247,2025-03-31 16:37:17,Week2(2025-03-31 to 2025-04-06)
33eff235-f07f-453d-a3af-220dd969a4a7,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,64.62.197.231,2025-04-01 14:22:48,Week2(2025-03-31 to 2025-04-06)
caab8495-f7e7-4ea0-b05f-1e09b2573fd1,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,184.105.139.98,2025-04-01 14:22:58,Week2(2025-03-31 to 2025-04-06)
95dbea33-599c-4336-b4ba-b28393dad83e,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,65.49.1.184,2025-04-01 15:01:33,Week2(2025-03-31 to 2025-04-06)
c0207fa9-a5fc-4d96-a897-91158d048361,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,65.49.1.216,2025-04-01 15:24:24,Week2(2025-03-31 to 2025-04-06)
c84d1b3b-2ca9-4e77-9f5d-7f68bdc3a1ff,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,65.49.1.124,2025-04-01 15:46:04,Week2(2025-03-31 to 2025-04-06)
da0e805f-4e3f-4a5a-a51c-f4bbdc15a3b2,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,216.218.206.79,2025-04-01 16:54:49,Week2(2025-03-31 to 2025-04-06)
2b6e7871-ad06-4534-9027-4a6a826f92ab,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,184.105.247.235,2025-04-02 10:07:09,Week2(2025-03-31 to 2025-04-06)
5d35d3f5-e883-4518-8004-a375b01a8095,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,64.62.197.224,2025-04-02 14:12:25,Week2(2025-03-31 to 2025-04-06)
bf9ab843-0715-47d3-b3ae-7394de521199,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,184.105.247.231,2025-04-02 14:41:45,Week2(2025-03-31 to 2025-04-06)
aed4393a-914c-40e9-b313-3c874c81a30c,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,65.49.1.134,2025-04-02 15:29:25,Week2(2025-03-31 to 2025-04-06)
5dce3572-81b9-4f1c-868d-be7d33b89566,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,184.105.139.125,2025-04-02 15:39:10,Week2(2025-03-31 to 2025-04-06)
70bd1b40-9fba-48c1-b25f-397392fdbd77,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,65.49.20.88,2025-04-02 16:51:41,Week2(2025-03-31 to 2025-04-06)
0094e620-b885-470b-bcda-ea6309ec3699,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,65.49.1.136,2025-04-02 16:51:41,Week2(2025-03-31 to 2025-04-06)
935b2a23-e847-4c3f-9d4a-0443d806c3e7,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,64.62.197.154,2025-04-03 02:46:49,Week2(2025-03-31 to 2025-04-06)
3a5ab6b4-49dc-4722-9604-01c524d72185,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,64.62.156.48,2025-04-03 11:15:31,Week2(2025-03-31 to 2025-04-06)
56b8aca2-8365-436c-8949-db36b5e918b7,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,64.62.197.149,2025-04-03 11:15:51,Week2(2025-03-31 to 2025-04-06)
de75813a-723a-48a4-96cd-6fc86138e471,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,65.49.1.230,2025-04-03 15:13:22,Week2(2025-03-31 to 2025-04-06)
a5a92a74-2a3d-4af4-b3d2-e050e4320a22,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,65.49.1.106,2025-04-03 15:44:57,Week2(2025-03-31 to 2025-04-06)
ccbd4984-d82e-4c96-927a-3b1218a401b6,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,65.49.20.103,2025-04-03 16:45:43,Week2(2025-03-31 to 2025-04-06)
6141f615-9df8-4ee9-af36-0e26e7842adb,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,64.62.156.155,2025-04-03 16:45:43,Week2(2025-03-31 to 2025-04-06)
56d68d52-c8b6-4921-b732-aa8e9660c7b7,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,184.105.139.112,2025-04-04 05:01:01,Week2(2025-03-31 to 2025-04-06)
5e9cd685-ffe0-4cbd-b98f-de14d9a940bf,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,216.218.206.121,2025-04-04 15:04:14,Week2(2025-03-31 to 2025-04-06)
a3073d87-35ee-4967-9e2b-7f6b295e94f3,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,74.82.47.12,2025-04-04 15:13:44,Week2(2025-03-31 to 2025-04-06)
56f85ebf-1e9e-446f-aee5-2df7d2325adc,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,65.49.20.78,2025-04-04 15:23:50,Week2(2025-03-31 to 2025-04-06)
bca3036c-f50e-4d18-9ab1-26b23267fcbe,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,65.49.1.235,2025-04-04 15:24:10,Week2(2025-03-31 to 2025-04-06)
f731a756-7eb1-43e8-bb30-98931b5eb2c9,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,64.62.197.241,2025-04-04 15:24:30,Week2(2025-03-31 to 2025-04-06)
3b768fd4-d570-4f48-85c5-c50b17547e56,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,65.49.1.104,2025-04-04 15:54:40,Week2(2025-03-31 to 2025-04-06)
