**IPS TRAFFIC ALLOWED(LAST 30 DAYS)**
**Report Generated at: 2025-04-23 10:43:17**
**Generated By : superadmin@erasmith.com**

Event Id,Account Name,Device Host Name,File Name,Device Severity,Message,Ip Address,Creation Time
4ee47ee0-32bf-41e1-bf84-5d014761d465,PHISHING@MERCHANTSFLEET.COM,,,Low,"{aig:bf607b0f-fe53-5c48-1248-08dd80ecd6ab,f3u:phishing@merchantsfleet.com,ts:2025-04-21T15:54:00Z,te:2025-04-21T15:55:00Z,op:UserSubmission,wl:SecurityComplianceCenter,tid:74e16038-e7dd-4392-b38a-5a2b6d6e3a25,tdc:1,reid:0f917fc4-07a8-428c-e346-08dd80ecd7da,wsrt:0001-01-01T00:00:00,mdt:u,rid:5e109db2-f860-4d79-8faf-aed562f1d58d,cid:b26a5770-0c38-434a-9380-3a3c2c27bbb3,ad:This alert is triggered when any email message is reported as malware or phish by users -V1.0.0.3,lon:UserSubmission,an:Email reported by user as malware or phish,sev:Low,ail:https://security.microsoft.com/mtp-investigation/urn:SubmissionInvestigation:96e701744abbfa4095ecec79a78c34e3}",,2025-04-21 15:54:48
34e53f89-cbf0-49b4-ac11-729fd2b32c78,SERGIO@SIGNZOO.COM,,74048_Proof.jpg,,"{Version:3.0,VendorName:Microsoft,ProviderName:OATP,AlertType:b26a5770-0c38-434a-9380-3a3c2c27bbb3,StartTimeUtc:2025-04-21T15:23:00Z,EndTimeUtc:2025-04-21T15:24:00Z,TimeGenerated:2025-04-21T15:23:22.71Z,ProcessingEndTime:2025-04-21T15:32:14.1247163Z,Status:InProgress,Severity:Low,ConfidenceLevel:Unknown,ConfidenceScore:1.0,IsIncident:false,ProviderAlertId:1d3d4c8c-fe22-d423-f9b8-08dd80e8726b,SystemAlertId:null,CorrelationKey:3fd9a910-eca3-46ac-8b68-e72b8ca38c7f,Investigations:[{$id:1,Id:urn:SubmissionInvestigation:c351ca77a0fdcec78288f55ad08ab5c4,InvestigationStatus:Running}],InvestigationIds:[urn:SubmissionInvestigation:c351ca77a0fdcec78288f55ad08ab5c4],Intent:Probing,ResourceIdentifiers:[{$id:2,AadTenantId:74e16038-e7dd-4392-b38a-5a2b6d6e3a25,Type:AAD}],AzureResourceId:null,WorkspaceId:null,WorkspaceSubscriptionId:null,WorkspaceResourceGroup:null,AgentId:null,AlertDisplayName:Email reported by user as malware or phish,Description:This alert is triggered when any email message is reported as malware or phish by users -V1.0.0.3,ExtendedLinks:[{Href:https://security.microsoft.com/viewalerts?id=1d3d4c8c-fe22-d423-f9b8-08dd80e8726b,Category:null,Label:alert,Type:webLink}],Metadata:{CustomApps:null,GenericInfo:null},Entities:[{$id:3,Files:[{$id:4,Name:74048_Proof.jpg,FileHashes:[{$id:5,Algorithm:SHA256,Value:0DBD63BCA63B361EF12CA93EE75B2A8A227521D68EA63C3A4795DF1FCDE0118A,Type:filehash}],Type:file,MalwareFamily:null}],Recipient:kevingrant@merchantsfleet.com,Urls:[https://www.signzoo.com/,https://sarasotawebsites.com/clients/sz/facebook.png,https://sarasotawebsites.com/clients/sz/LinkedIn.png,https://sarasotawebsites.com/clients/sz/Instagram.png,https://www.facebook.com/SignZoo,https://sarasotawebsites.com/clients/sz/SignZoo_Mascot.png,https://www.instagram.com/SignZoo,https://www.linkedin.com/company/SignZoo],Sender:sergio@signzoo.com,P1Sender:sergio@signzoo.com,P1SenderDomain:signzoo.com,SenderIP:2a00:1450:4864:20::12a,P2Sender:sergio@signzoo.com,P2SenderDisplayName:Sergio Vippolis,P2SenderDomain:signzoo.com,ReceivedDate:2025-04-21T15:14:03,NetworkMessageId:1b8c2729-6e2a-4759-b834-08dd80e71e6c,InternetMessageId:<CAF2_NT6vzp=89eZbH_VKaH2h8h3a4hh9s+jUfeaCHn_OFOkOFw@mail.gmail.com>,Subject:WO#74048 - Proof,AntispamDirection:Inbound,DeliveryAction:Delivered,Language:en,DeliveryLocation:Inbox,OriginalDeliveryLocation:Inbox,AdditionalActionsAndResults:[OriginalDelivery: [N/A]],AuthDetails:[{Name:SPF,Value:Soft fail},{Name:DKIM,Value:Pass},{Name:DMARC,Value:None},{Name:Comp Auth,Value:pass}],SystemOverrides:[],Type:mailMessage,Urn:urn:MailEntity:2f485efb4d6f678f6ee2e4b48d915e74,Source:OATP,FirstSeen:2025-04-21T15:30:35},{$id:6,MailboxPrimaryAddress:kevingrant@merchantsfleet.com,Upn:kevingrant@merchantsfleet.com,AadId:fa715bb7-b57d-420d-b50b-edc3e3c4331a,RiskLevel:None,Type:mailbox,Urn:urn:UserEntity:90a97e88de98268e46dc93288c2e02c4,Source:OATP,FirstSeen:2025-04-21T15:30:35}],LogCreationTime:2025-04-21T15:32:14.1403401Z,MachineName:BN8NAM12BG402,SourceTemplateType:Activity_Single,Category:ThreatManagement,SourceAlertType:System}",,2025-04-21 15:32:16
5a92abe0-d329-4ae9-bb78-51315d818ff0,CORP.LOCAL\MARKSIEGEL,M6CCORNFW02-P,,medium,Suspicious DNS Query,10.11.248.102,2025-03-24 18:46:05
f906b2b7-b720-411c-b50b-39dadf9a824e,M6CUTLDC01-P$,M6CCORNFW02-P,,medium,Suspicious DNS Query,10.11.96.9,2025-03-24 18:46:05
a95d4f3f-1071-4241-ae69-69d20e4a1bea,UNKNOWN,M6CCORNFW02-P,52.154.164.159/../../../../../../../../../../boot.ini,high,SolarWinds Storage Manager AuthenticationFilter Policy Bypass Vulnerability,64.39.98.47,2025-03-28 06:02:44
040f89e0-4de0-4c82-81d7-be1d552cc2bc,UNKNOWN,M6CCORNFW02-P,console.portal,critical,Oracle WebLogic Server Remote Code Execution Vulnerability,64.39.98.47,2025-03-28 06:06:49
fd090190-a473-4a3a-b533-feb5b4f1a4c2,UNKNOWN,M6CCORNFW02-P,console.portal,critical,Oracle WebLogic Server Remote Code Execution Vulnerability,64.39.98.47,2025-03-28 06:06:39
c7fa4baf-5619-4e20-bb15-04467383f6e7,UNKNOWN,M6CCORNFW02-P,sc_layout,critical,WordPress ThemeREX Remote Code Execution Vulnerability,64.39.98.47,2025-03-28 06:07:09
02e1a48b-2ee3-412e-99f0-1c3fd7ce3cfd,UNKNOWN,M6CCORNFW02-P,console.portal,critical,Oracle WebLogic Server Remote Code Execution Vulnerability,64.39.98.47,2025-03-28 06:07:04
eba1e891-ffbf-4bfe-9f12-3553a3cdd5d0,UNKNOWN,M6CCORNFW02-P,console.portal,critical,Oracle WebLogic Server Remote Code Execution Vulnerability,64.39.98.47,2025-03-28 06:07:29
