**TOP 10 THREAT URL BLOCKED (PALOALTO)**
**Report Generated at: 2025-04-23 10:25:58**
**Generated By : superadmin@erasmith.com**

Event Id,Requesturl,Device Host Name,Account Name,Ip Address,Creation Time,Week
fd80ac73-f99e-477c-a1ac-a38a3f11c9bc,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,65.49.1.132,2025-04-14 06:12:26,Week4(2025-04-14 to 2025-04-20)
34abb121-6e6b-402d-a4c0-a4101e3c2b41,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,184.105.139.93,2025-04-14 06:12:51,Week4(2025-04-14 to 2025-04-20)
133ae65c-6a87-4605-94c0-fc60f05414e1,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,65.49.1.117,2025-04-14 15:56:19,Week4(2025-04-14 to 2025-04-20)
2cabbe99-9601-4fcd-98ea-e6354fc649a7,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,74.82.47.8,2025-04-14 16:52:14,Week4(2025-04-14 to 2025-04-20)
5726ede0-24b6-44df-8094-6e9a09cb76ca,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,184.105.139.88,2025-04-14 17:25:19,Week4(2025-04-14 to 2025-04-20)
0be60968-7d37-4f98-b372-70131e75037a,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,65.49.20.112,2025-04-15 08:07:43,Week4(2025-04-14 to 2025-04-20)
3ae0e1a9-a653-495e-a512-bb01c6855170,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,74.82.47.11,2025-04-15 14:44:40,Week4(2025-04-14 to 2025-04-20)
7b3da2ff-9b2f-4ead-83b8-2ce4e0798359,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,74.82.47.24,2025-04-15 15:09:55,Week4(2025-04-14 to 2025-04-20)
68cdda48-e43f-4699-8386-cd01e13d4805,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,64.62.197.19,2025-04-15 15:21:25,Week4(2025-04-14 to 2025-04-20)
256e29c0-b370-4598-91c9-37570c76101d,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,64.62.197.98,2025-04-15 15:21:25,Week4(2025-04-14 to 2025-04-20)
ef6f6b31-021d-4ee6-9e6f-a268889964bb,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,65.49.1.141,2025-04-15 15:53:41,Week4(2025-04-14 to 2025-04-20)
63c31381-af2d-4a35-b4c7-34b6b9a62465,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,64.62.156.214,2025-04-15 16:56:11,Week4(2025-04-14 to 2025-04-20)
babdfb23-0ca1-4be5-89c2-fabd99b662a8,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,64.62.197.108,2025-04-16 07:36:50,Week4(2025-04-14 to 2025-04-20)
dfa7fc5d-6629-4b6b-b745-b9bd4d3e2050,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,65.49.1.52,2025-04-16 07:37:00,Week4(2025-04-14 to 2025-04-20)
8f4edc62-bd35-4106-a8cc-92c85b8475ef,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,65.49.1.225,2025-04-16 10:27:56,Week4(2025-04-14 to 2025-04-20)
2fdd32b1-7c66-4c55-867a-7abaa94928ca,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,65.49.20.106,2025-04-16 15:35:07,Week4(2025-04-14 to 2025-04-20)
a256bab1-8e57-4281-9851-6f5d7da58a2d,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,184.105.139.108,2025-04-16 16:32:37,Week4(2025-04-14 to 2025-04-20)
6f139fe2-d584-4db7-8e60-21045704a7a2,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,65.49.1.224,2025-04-16 16:43:23,Week4(2025-04-14 to 2025-04-20)
82c6fbd6-bf37-4d52-a859-c1471afe7721,www.youporn.com/,M6CCORNFW02-P,UNKNOWN,64.62.156.80,2025-04-16 17:36:48,Week4(2025-04-14 to 2025-04-20)
